Date,Time,Finder Name,Contact No.,Animal Type,Species,Age,Alive/Dead,Beach,Area,Mile Marker,High Tide Dist.,Longitude,Latitude,Est. / Exact,Length,Width,Weight,Sex,Entangled?,Entangling Item,Injured?,Injury Desc.,Notes
06-08-90,00:00,,,Turtle,Green sea turtle,,Moderate Decomposition,"CHULA VISTA, SOUTH SAN DIEGO BAY, NEAR SOUTH BAY BOAT YARD",CALIFORNIA,,,,,,,,,,,,,,Original Length on form was 79 CM.  CARCASS WITH 2 LARGE GASHES RUNNING PARALLEL; UNKNOWN IF COLLISION OCCURRED PRIOR TO OR AFTER DEATH;  ANIMAL HAD BEEN FEEDING PRIOR TO DEATH
16-08-90,00:00,,,Turtle,Green sea turtle,,ADVANCED DECOMPOSITION,"BODEGA BAY, NEAR PINNACLE ROCK",CALIFORNIA,,,,,,,,,,,,,,PARTIAL SPECIMEN; NO SKULL; FLIPPERS; PLASTRON OR CARAPACE FOUND; UNABLE TO RECORD LENGTH MEASUREMENT; BONES ASSEMBLED FOR COMPARISON WITH GREEN TURTLE SPECIMEN PREVIOUSLY CATALOGUED INTO MUSEUM COLLECTION
16-08-90,00:00,,,Turtle,Green sea turtle,,FRESH DEAD,"SAN DIEGO, PIER 4, 32ND STREET NAVAL BASE",CALIFORNIA,,,,,,,,,,,,,,Original Length on form was 99 CM.  POSSIBLE BOAT COLLISION; CARAPACE SPLIT OPEN ALONG CENTER FROM FRONT TOBACK; SLIT = SEVERAL INCHES IN WIDTH; A2782 REAR FLIPPER TAG
23-08-90,00:00,,,Turtle,Green sea turtle,,Moderate Decomposition,"SAN DIEGO, VICINITY OF MISSION BAY VISITOR CENTER",CALIFORNIA,,,,,,,,,,,,,,"Original Length on form was 57 CM.  POSSIBLE BOAT COLLISION; CARAPACE CRACKED & SHATTERED, WITH PARALLEL CUTS (PROPELLER DAMAGE?); ADDITIONAL CUT ACROSS LEFT EYE, PENETRATING TO BONE"
14-09-90,00:00,,,Turtle,Green sea turtle,,ALIVE,"SAN ONOFRE, SAN ONOFRE NUCLEAR GENERATING STATION",CALIFORNIA,,,,,,,,,,,,,,Original Length on form was 25.25 IN.  Original CCL on form was 25.25 in. Original Weight on form was 80 lbs. ANIMAL REMOVED FROM COOLING WATER SYSTEM & RELEASED ALIVE AT SAN ONOFRE STATE BEACH
26-09-90,00:00,,,Turtle,Green sea turtle,,ALIVE,"SAN ONOFRE, SAN ONOFRE NUCLEAR GENERATING STATION",CALIFORNIA,,,,,,,,,,,,,,Original Length on form was 25.25 IN.  Original CCL on form was 25.25 in. Original Weight on form was 80 lbs. ANIMAL REMOVED FROM COOLING WATER SYSTEM & RELEASED AT CAMP PENDLETON BEACH 51
03-10-90,00:00,,,Turtle,Green sea turtle,,FRESH DEAD,"SAN ONOFRE, SAN ONOFRE NUCLEAR GENERATING STATION",CALIFORNIA,,,,,,,,,,,,,,Original Length on form was 24 IN.  Original CCL on form was 24 in. Original Weight on form was 40 lbs.
25-10-90,00:00,,,Turtle,Green sea turtle,,ADVANCED DECOMPOSITION,"SEAL BEACH, JETTY, EAST OF SEAL BEACH PIER, JUST ADJACENT TO ANAHEIM BAY",CALIFORNIA,,,,,,,,,,,,,,Original Length on form was 64.3 CM.  
30-10-90,00:00,,,Turtle,Green sea turtle,,ALIVE,"SAN ONOFRE, SAN ONOFRE NUCLEAR GENERATING STATION",CALIFORNIA,,,,,,,,,,,,,,"Original Length on form was 24 IN (estimated).  Original CCL on form was 24 in. Original Weight on form was 45 lbs. ANIMAL REMOVED FROM COOLING WATER SYSTEM & RELEASED AT CAMP PENDLETON, BEACH 52; NO APPARENT INJURIES"
16-12-90,00:00,,,Turtle,Green sea turtle,,ADVANCED DECOMPOSITION,"NEWPORT BEACH, 61ST STREET",CALIFORNIA,,,,,,,,,,,,,,Original Length on form was 57 CM.  CARCASS WITH HALF OF SKULL MISSING
21-02-91,00:00,,,Turtle,Green sea turtle,,ALIVE,"SAN ONOFRE, SAN ONOFRE NUCLEAR GENERATING STATION",CALIFORNIA,,,,,,,,,,,,,,"Original Length on form was 22 IN (estimated).  Original CCL on form was 22 in. Original Weight on form was 25 lbs. ANIMAL REMOVED FROM COOLING WATER SYSTEM & RELEASED ALIVE AT CAMP PENDLETON, BEACH 52; NO APPARENT INJURIES"
14-03-91,00:00,,,Turtle,Green sea turtle,,FRESH DEAD,"SAN ONOFRE, SAN ONOFRE NUCLEAR GENERATING STATION",CALIFORNIA,,,,,,,,,,,,,,LENGTH MEASUREMENT IS FROM NOSE TO END OF SHELL; CARAPACE WIDTH = 50 CM; BARNACLES REMOVED FROM SHELL
07-08-91,00:00,,,Turtle,Green sea turtle,,ALIVE,"PLAYA DEL REY, SCATTERGOOD GENERATING STATION",CALIFORNIA,,,,,,,,,,,,,,Original Length on form was 21.5 IN.  Original CCL on form was 21.5 in. Original Weight on form was 35 lbs. ANIMAL ENTERED CIRCULATING WATER SCREEN BAY THROUGH INTAKE TUNNEL; ANIMAL REMOVED BY CALIFORNIA DEPARTMENT OF FISH & GAME PERSONNEL & RELEASED AT K
06-09-91,00:00,,,Turtle,Green sea turtle,,ALIVE,"SAN ONOFRE, SAN ONOFRE NUCLEAR GENERATING STATION",CALIFORNIA,,,,,,,,,,,,,,Original Length on form was 26 IN.  Original CCL on form was 26 in. Original Weight on form was 70 lbs. ANIMAL REMOVED FROM INTAKE CHANNEL & RELEASED TWO MILES NORTH OF POWER PLANT; NO TAGS APPLIED
08-09-91,00:00,,,Turtle,Green sea turtle,,ADVANCED DECOMPOSITION,"SAN DIEGO, EMORY MUDFLAT, SAN DIEGO BAY",CALIFORNIA,,,,,,,,,,,,,,Original Length on form was 52.5 IN.  Original CCL on form was 52.5 in. WAD OF MONOFILAMENT LINE LODGED IN MOUTH & THROAT; RECORDED LENGTH = CURVILINEAR CARAPACE LENGTH
06-11-91,00:00,,,Turtle,Green Sea Turtle,,Live/Dead,,"Pistol River, OR",,,,,,,,,,,,,,Turtle was alive when found but died shortly thereafter. 
06-11-91,00:00,no data,no data,Turtle,Green Sea Turtle,no data,Live/Dead,"Pistol River, OR",,0,0,0,0,no data,0,0,0,Unknown,no data,no data,no data,,Turtle was Live when found but died shortly thereafter. 
03-05-92,00:00,,,Turtle,Green sea turtle,,ADVANCED DECOMPOSITION,"DEL MAR, DEL MAR CITY BEACH, 1/2 MILE NORTH OF 17TH STREET",CALIFORNIA,,,,,,,,,,,,,,NECROPSY REVEALED NO FOREIGN OBJECTS IN GASTRO-INTESTINAL TRACT; SEVERE DECOMPOSITION OF VISCERAL ORGANS; CAUSE OF DEATH UNKNOWN
